"Fecha";Local;Visita;Distancia
"5";"Everton";"Deportes La Serena";"346117"
"5";"Universidad Católica";"Audax Italiano";"17648.7"
"5";"Unión Española";"Colo-Colo";"12370.4"
"5";"Curicó Unido";"Palestino";"169564"
"5";"O'Higgins";"Universidad de Chile";"80172.3"
"5";"O'Higgins";"Universidad de Chile";"1e+12"
"5";"O'Higgins";"Universidad de Chile";"1e+12"
"6";"Everton";"Deportes Iquique";"1.42696e+06"
"6";"Santiago Wanderers";"Deportes Antofagasta";"1.04689e+06"
"6";"Coquimbo Unido";"Cobresal";"445635"
"6";"Unión La Calera";"Deportes La Serena";"319508"
"6";"O'Higgins";"Audax Italiano";"72333.8"
"6";"Curicó Unido";"Colo-Colo";"173014"
"6";"Unión Española";"Palestino";"12992.6"
"6";"Universidad de Chile";"Universidad Católica";"12736.4"
"6";"Universidad de Chile";"Universidad Católica";"1e+12"
"6";"Universidad de Chile";"Universidad Católica";"1e+12"
"7";"Santiago Wanderers";"Deportes Iquique";"1.42887e+06"
"7";"Everton";"Deportes Antofagasta";"1.04489e+06"
"7";"Unión La Calera";"Cobresal";"742050"
"7";"Deportes La Serena";"Coquimbo Unido";"10274.8"
"7";"Curicó Unido";"Audax Italiano";"170302"
"7";"O'Higgins";"Colo-Colo";"75612.9"
"7";"Universidad Católica";"Palestino";"21161.5"
"7";"Universidad de Chile";"Unión Española";"8041.3"
"7";"Universidad de Chile";"Unión Española";"1e+12"
"7";"Universidad de Chile";"Unión Española";"1e+12"
"8";"Universidad Católica";"Deportes Iquique";"1.46306e+06"
"8";"Unión Española";"Deportes Antofagasta";"1.0827e+06"
"8";"Universidad de Chile";"Cobresal";"807559"
"8";"Colo-Colo";"Coquimbo Unido";"399819"
"8";"Palestino";"Deportes La Serena";"405101"
"8";"Audax Italiano";"Everton";"106465"
"8";"O'Higgins";"Santiago Wanderers";"153280"
"8";"Curicó Unido";"Unión La Calera";"243555"
"8";"Curicó Unido";"Unión La Calera";"1e+12"
"8";"Curicó Unido";"Unión La Calera";"1e+12"
"9";"Unión Española";"Deportes Iquique";"1.46449e+06"
"9";"Universidad Católica";"Deportes Antofagasta";"1.0815e+06"
"9";"Colo-Colo";"Cobresal";"812152"
"9";"Universidad de Chile";"Coquimbo Unido";"395137"
"9";"Audax Italiano";"Deportes La Serena";"408600"
"9";"Palestino";"Everton";"97961.6"
"9";"Curicó Unido";"Santiago Wanderers";"220315"
"9";"O'Higgins";"Unión La Calera";"160775"
"9";"O'Higgins";"Unión La Calera";"1e+12"
"9";"O'Higgins";"Unión La Calera";"1e+12"
"10";"Universidad de Chile";"Deportes Iquique";"1.47099e+06"
"10";"Colo-Colo";"Deportes Antofagasta";"1.09394e+06"
"10";"Universidad Católica";"Cobresal";"798807"
"10";"Unión Española";"Coquimbo Unido";"387791"
"10";"O'Higgins";"Deportes La Serena";"476901"
"10";"Curicó Unido";"Everton";"219730"
"10";"Palestino";"Santiago Wanderers";"105635"
"10";"Audax Italiano";"Unión La Calera";"102086"
"10";"Audax Italiano";"Unión La Calera";"1e+12"
"10";"Audax Italiano";"Unión La Calera";"1e+12"
"11";"Colo-Colo";"Deportes Iquique";"1.47565e+06"
"11";"Universidad de Chile";"Deportes Antofagasta";"1.08927e+06"
"11";"Unión Española";"Cobresal";"801505"
"11";"Universidad Católica";"Coquimbo Unido";"389616"
"11";"Curicó Unido";"Deportes La Serena";"563011"
"11";"O'Higgins";"Everton";"148959"
"11";"Audax Italiano";"Santiago Wanderers";"114299"
"11";"Palestino";"Unión La Calera";"95465.4"
"11";"Palestino";"Unión La Calera";"1e+12"
"11";"Palestino";"Unión La Calera";"1e+12"
"12";"Palestino";"Deportes Iquique";"1.47746e+06"
"12";"Audax Italiano";"Deportes Antofagasta";"1.0977e+06"
"12";"O'Higgins";"Cobresal";"887710"
"12";"Curicó Unido";"Coquimbo Unido";"557075"
"12";"Unión Española";"Deportes La Serena";"392483"
"12";"Universidad de Chile";"Everton";"99477.4"
"12";"Colo-Colo";"Santiago Wanderers";"110197"
"12";"Universidad Católica";"Unión La Calera";"94156.5"
"12";"Universidad Católica";"Unión La Calera";"1e+12"
"12";"Universidad Católica";"Unión La Calera";"1e+12"
"13";"Audax Italiano";"Deportes Iquique";"1.47937e+06"
"13";"Palestino";"Deportes Antofagasta";"1.09566e+06"
"13";"Curicó Unido";"Cobresal";"981883"
"13";"O'Higgins";"Coquimbo Unido";"471814"
"13";"Universidad Católica";"Deportes La Serena";"393963"
"13";"Unión Española";"Everton";"92321"
"13";"Universidad de Chile";"Santiago Wanderers";"107624"
"13";"Colo-Colo";"Unión La Calera";"97500.6"
"13";"Colo-Colo";"Unión La Calera";"1e+12"
"13";"Colo-Colo";"Unión La Calera";"1e+12"
"14";"O'Higgins";"Deportes Iquique";"1.55068e+06"
"14";"Curicó Unido";"Deportes Antofagasta";"1.2595e+06"
"14";"Palestino";"Cobresal";"814492"
"14";"Audax Italiano";"Coquimbo Unido";"404021"
"14";"Universidad de Chile";"Deportes La Serena";"399751"
"14";"Colo-Colo";"Everton";"102259"
"14";"Unión Española";"Santiago Wanderers";"100674"
"14";"Huachipato";"Unión La Calera";"474705"
"14";"Universidad de Concepción";"Universidad Católica";"444052"
"15";"Curicó Unido";"Deportes Iquique";"1.64165e+06"
"15";"O'Higgins";"Deportes Antofagasta";"1.16884e+06"
"15";"Audax Italiano";"Cobresal";"815628"
"15";"Palestino";"Coquimbo Unido";"400334"
"15";"Colo-Colo";"Deportes La Serena";"404441"
"15";"Universidad Católica";"Everton";"105168"
"15";"Huachipato";"Santiago Wanderers";"436141"
"15";"Unión Española";"Unión La Calera";"85400.4"
"15";"Universidad de Concepción";"Universidad de Chile";"432339"
"16";"Huachipato";"Deportes Iquique";"1.85874e+06"
"16";"Universidad de Concepción";"Deportes Antofagasta";"1.48297e+06"
"16";"Universidad de Concepción";"Deportes Antofagasta";"1e+12"
"16";"Cobresal";"Coquimbo Unido";"445635"
"16";"Cobresal";"Coquimbo Unido";"1e+12"
"16";"Deportes La Serena";"Everton";"346117"
"16";"Universidad Católica";"Santiago Wanderers";"113850"
"16";"Universidad de Chile";"Unión La Calera";"93435.7"
"16";"Universidad de Chile";"Unión La Calera";"1e+12"
"16";"Audax Italiano";"Colo-Colo";"4586"
"16";"Audax Italiano";"Colo-Colo";"1e+12"
"16";"Palestino";"Unión Española";"12992.6"
"16";"Palestino";"Unión Española";"1e+12"
"16";"O'Higgins";"Curicó Unido";"99421.1"
"17";"Universidad de Concepción";"Deportes Iquique";"1.86404e+06"
"17";"Huachipato";"Deportes Antofagasta";"1.47782e+06"
"17";"Huachipato";"Deportes Antofagasta";"1e+12"
"17";"Huachipato";"Deportes Antofagasta";"1e+12"
"17";"Coquimbo Unido";"Deportes La Serena";"10274.8"
"17";"Cobresal";"Everton";"774150"
"17";"Cobresal";"Everton";"1e+12"
"17";"Santiago Wanderers";"Unión La Calera";"48914.6"
"17";"Santiago Wanderers";"Unión La Calera";"1e+12"
"17";"Santiago Wanderers";"Unión La Calera";"1e+12"
"17";"Colo-Colo";"Palestino";"6394.75"
"17";"Audax Italiano";"Unión Española";"16900.8"
"17";"Audax Italiano";"Unión Española";"1e+12"
"17";"Universidad Católica";"Universidad de Chile";"12736.4"
"17";"Universidad Católica";"Universidad de Chile";"1e+12"
"17";"Universidad Católica";"Universidad de Chile";"1e+12"
"18";"Curicó Unido";"Universidad de Concepción";"260712"
"18";"O'Higgins";"Huachipato";"358044"
"18";"Colo-Colo";"Universidad de Chile";"4699.84"
"18";"Unión Española";"Universidad Católica";"14731.9"
"18";"Audax Italiano";"Palestino";"9032.25"
"18";"Everton";"Unión La Calera";"40461.1"
"18";"Coquimbo Unido";"Santiago Wanderers";"341124"
"18";"Cobresal";"Deportes La Serena";"436919"
"18";"Deportes Iquique";"Deportes Antofagasta";"382173"
"19";"O'Higgins";"Universidad de Concepción";"358904"
"19";"Curicó Unido";"Huachipato";"260413"
"19";"Unión Española";"Universidad de Chile";"8041.3"
"19";"Colo-Colo";"Universidad Católica";"15711.3"
"19";"Unión La Calera";"Palestino";"95465.4"
"19";"Everton";"Audax Italiano";"106465"
"19";"Deportes La Serena";"Santiago Wanderers";"347897"
"19";"Deportes Antofagasta";"Coquimbo Unido";"706083"
"19";"Deportes Iquique";"Cobresal";"670210"
"20";"Palestino";"Universidad de Concepción";"424042"
"20";"Audax Italiano";"Huachipato";"424979"
"20";"Colo-Colo";"Curicó Unido";"173014"
"20";"Universidad de Chile";"O'Higgins";"80172.3"
"20";"Unión La Calera";"Universidad Católica";"94156.5"
"20";"Everton";"Unión Española";"92321"
"20";"Cobresal";"Santiago Wanderers";"777464"
"20";"Deportes Antofagasta";"Deportes La Serena";"699034"
"20";"Deportes Iquique";"Coquimbo Unido";"1.0879e+06"
"21";"Audax Italiano";"Universidad de Concepción";"426515"
"21";"Palestino";"Huachipato";"422305"
"21";"Universidad de Chile";"Curicó Unido";"177303"
"21";"Colo-Colo";"O'Higgins";"75612.9"
"21";"Everton";"Universidad Católica";"105168"
"21";"Unión La Calera";"Unión Española";"85400.4"
"21";"Deportes Antofagasta";"Santiago Wanderers";"1.04689e+06"
"21";"Deportes Iquique";"Deportes La Serena";"1.08098e+06"
"21";"Deportes Iquique";"Deportes La Serena";"1e+12"
"21";"Deportes Iquique";"Deportes La Serena";"1e+12"
"22";"Colo-Colo";"Universidad de Concepción";"428500"
"22";"Universidad de Chile";"Huachipato";"430643"
"22";"Palestino";"Curicó Unido";"169564"
"22";"Audax Italiano";"O'Higgins";"72333.8"
"22";"Santiago Wanderers";"Universidad Católica";"113850"
"22";"Coquimbo Unido";"Unión Española";"387791"
"22";"Deportes La Serena";"Unión La Calera";"319508"
"22";"Deportes Antofagasta";"Everton";"1.04489e+06"
"22";"Deportes Antofagasta";"Everton";"1e+12"
"22";"Deportes Antofagasta";"Everton";"1e+12"
"23";"Universidad de Chile";"Universidad de Concepción";"432339"
"23";"Colo-Colo";"Huachipato";"426868"
"23";"Audax Italiano";"Curicó Unido";"170302"
"23";"Palestino";"O'Higgins";"73293.1"
"23";"Coquimbo Unido";"Universidad Católica";"389616"
"23";"Santiago Wanderers";"Unión Española";"100674"
"23";"Cobresal";"Unión La Calera";"742050"
"23";"Deportes Iquique";"Everton";"1.42696e+06"
"23";"Deportes Iquique";"Everton";"1e+12"
"23";"Deportes Iquique";"Everton";"1e+12"
"24";"Unión Española";"Universidad de Concepción";"435949"
"24";"Santiago Wanderers";"Huachipato";"436141"
"24";"Universidad Católica";"Curicó Unido";"187918"
"24";"Everton";"O'Higgins";"148959"
"24";"Palestino";"Universidad de Chile";"8512.73"
"24";"Unión La Calera";"Colo-Colo";"97500.6"
"24";"Coquimbo Unido";"Audax Italiano";"404021"
"24";"Coquimbo Unido";"Audax Italiano";"1e+12"
"24";"Deportes Antofagasta";"Cobresal";"297547"
"24";"Deportes Antofagasta";"Cobresal";"1e+12"
"25";"Santiago Wanderers";"Universidad de Concepción";"440201"
"25";"Unión Española";"Huachipato";"434090"
"25";"Everton";"Curicó Unido";"219730"
"25";"Universidad Católica";"O'Higgins";"89648.9"
"25";"Audax Italiano";"Universidad de Chile";"8996.96"
"25";"Coquimbo Unido";"Palestino";"400334"
"25";"Deportes La Serena";"Colo-Colo";"404441"
"25";"Deportes Antofagasta";"Unión La Calera";"1.01641e+06"
"25";"Deportes Antofagasta";"Unión La Calera";"1e+12"
"25";"Deportes Antofagasta";"Unión La Calera";"1e+12"
"26";"Everton";"Universidad de Concepción";"443867"
"26";"Universidad Católica";"Huachipato";"442467"
"26";"Unión Española";"Curicó Unido";"182301"
"26";"Santiago Wanderers";"O'Higgins";"153280"
"26";"Unión La Calera";"Universidad de Chile";"93435.7"
"26";"Deportes La Serena";"Palestino";"405101"
"26";"Coquimbo Unido";"Colo-Colo";"399819"
"26";"Cobresal";"Audax Italiano";"815628"
"26";"Cobresal";"Audax Italiano";"1e+12"
"26";"Cobresal";"Audax Italiano";"1e+12"
"27";"Universidad Católica";"Universidad de Concepción";"444052"
"27";"Everton";"Huachipato";"439997"
"27";"Santiago Wanderers";"Curicó Unido";"220315"
"27";"Unión Española";"O'Higgins";"86284"
"27";"Coquimbo Unido";"Universidad de Chile";"395137"
"27";"Cobresal";"Palestino";"814492"
"27";"Deportes Antofagasta";"Colo-Colo";"1.09394e+06"
"27";"Unión La Calera";"Audax Italiano";"102086"
"27";"Unión La Calera";"Audax Italiano";"1e+12"
"27";"Unión La Calera";"Audax Italiano";"1e+12"
"28";"Unión La Calera";"Universidad de Concepción";"478146"
"28";"Coquimbo Unido";"Huachipato";"772663"
"28";"Deportes La Serena";"Curicó Unido";"563011"
"28";"Cobresal";"O'Higgins";"887710"
"28";"Everton";"Universidad de Chile";"99477.4"
"28";"Audax Italiano";"Universidad Católica";"17648.7"
"28";"Colo-Colo";"Unión Española";"12370.4"
"28";"Santiago Wanderers";"Palestino";"105635"
"28";"Santiago Wanderers";"Palestino";"1e+12"
"28";"Santiago Wanderers";"Palestino";"1e+12"
"29";"Coquimbo Unido";"Universidad de Concepción";"777541"
"29";"Unión La Calera";"Huachipato";"474705"
"29";"Cobresal";"Curicó Unido";"981883"
"29";"Deportes La Serena";"O'Higgins";"476901"
"29";"Santiago Wanderers";"Universidad de Chile";"107624"
"29";"Palestino";"Universidad Católica";"21161.5"
"29";"Deportes Antofagasta";"Unión Española";"1.0827e+06"
"29";"Everton";"Colo-Colo";"102259"
"29";"Deportes Iquique";"Audax Italiano";"1.47937e+06"
"30";"Deportes La Serena";"Universidad de Concepción";"785088"
"30";"Cobresal";"Huachipato";"1.21335e+06"
"30";"Unión La Calera";"Curicó Unido";"243555"
"30";"Coquimbo Unido";"O'Higgins";"471814"
"30";"Deportes Antofagasta";"Universidad de Chile";"1.08927e+06"
"30";"Deportes Iquique";"Universidad Católica";"1.46306e+06"
"30";"Deportes Iquique";"Universidad Católica";"1e+12"
"30";"Everton";"Palestino";"97961.6"
"30";"Santiago Wanderers";"Colo-Colo";"110197"
"30";"Santiago Wanderers";"Colo-Colo";"1e+12"
"31";"Cobresal";"Universidad de Concepción";"1.2176e+06"
"31";"Deportes La Serena";"Huachipato";"780288"
"31";"Coquimbo Unido";"Curicó Unido";"557075"
"31";"Unión La Calera";"O'Higgins";"160775"
"31";"Deportes Iquique";"Universidad de Chile";"1.47099e+06"
"31";"Deportes Antofagasta";"Universidad Católica";"1.0815e+06"
"31";"Deportes Antofagasta";"Universidad Católica";"1e+12"
"31";"Deportes Antofagasta";"Universidad Católica";"1e+12"
"31";"Deportes Antofagasta";"Universidad Católica";"1e+12"
"31";"Santiago Wanderers";"Audax Italiano";"114299"
"31";"Santiago Wanderers";"Audax Italiano";"1e+12"
"32";"Deportes Antofagasta";"Universidad de Concepción";"1.48297e+06"
"32";"Deportes Iquique";"Huachipato";"1.85874e+06"
"32";"Deportes Iquique";"Huachipato";"1e+12"
"32";"Deportes Iquique";"Huachipato";"1e+12"
"32";"Deportes La Serena";"Universidad de Chile";"399751"
"32";"Cobresal";"Universidad Católica";"798807"
"32";"Cobresal";"Universidad Católica";"1e+12"
"32";"Cobresal";"Universidad Católica";"1e+12"
"32";"Cobresal";"Universidad Católica";"1e+12"
"32";"Cobresal";"Universidad Católica";"1e+12"
"32";"Coquimbo Unido";"Unión La Calera";"313723"
"32";"Everton";"Santiago Wanderers";"9828.51"
"33";"Deportes Iquique";"Universidad de Concepción";"1.86404e+06"
"33";"Deportes Antofagasta";"Huachipato";"1.47782e+06"
"33";"Deportes Antofagasta";"Huachipato";"1e+12"
"33";"Deportes Antofagasta";"Huachipato";"1e+12"
"33";"Cobresal";"Universidad de Chile";"807559"
"33";"Deportes La Serena";"Universidad Católica";"393963"
"33";"Deportes La Serena";"Universidad Católica";"1e+12"
"33";"Deportes La Serena";"Universidad Católica";"1e+12"
"33";"Deportes La Serena";"Universidad Católica";"1e+12"
"33";"Deportes La Serena";"Universidad Católica";"1e+12"
"33";"Deportes La Serena";"Universidad Católica";"1e+12"
"33";"Deportes La Serena";"Universidad Católica";"1e+12"
"33";"Coquimbo Unido";"Everton";"339564"
"34";"Coquimbo Unido";"Everton";"1e+12"
"34";"Coquimbo Unido";"Everton";"1e+12"
"34";"Huachipato";"Curicó Unido";"260413"
"34";"Universidad de Concepción";"O'Higgins";"358904"
"34";"Universidad de Concepción";"O'Higgins";"1e+12"
"34";"Universidad de Concepción";"O'Higgins";"1e+12"
"34";"Deportes La Serena";"Unión Española";"392483"
"34";"Deportes Antofagasta";"Palestino";"1.09566e+06"
"34";"Cobresal";"Colo-Colo";"812152"
"34";"Cobresal";"Colo-Colo";"1e+12"
"34";"Deportes Iquique";"Unión La Calera";"1.39858e+06"
"34";"Deportes Iquique";"Unión La Calera";"1e+12"
